id,state,county,total_votes,dem_votes,rep_votes,dem_share
166,FL,Saint Johns County,105844,35791,69222,34.08
167,FL,Gulf County,7205,2149,4980,30.15
168,FL,Clay County,94577,26697,67203,28.43
169,FL,Bradford County,11676,3430,8136,29.66
170,FL,Union County,5293,1300,3940,24.81
171,FL,Franklin County,6029,2134,3818,35.86
172,FL,Alachua County,125519,75565,48513,60.9
173,FL,Gilchrist County,7819,1996,5656,26.09
174,FL,Putnam County,33171,13236,19637,40.26
175,FL,Dixie County,7264,1925,5194,27.04
176,FL,Flagler County,49031,24726,23951,50.8
177,FL,Levy County,18725,6711,11754,36.35
178,FL,Marion County,162022,70839,89628,44.14
179,FL,Volusia County,243824,127795,113938,52.86
180,FL,Lake County,146926,62948,82802,43.19
181,FL,Citrus County,76158,31460,43706,41.85
182,FL,Sumter County,48868,17655,30866,36.39
183,FL,Seminole County,205895,99335,105070,48.6
184,FL,Brevard County,287859,127620,157589,44.74
185,FL,Orange County,462711,273009,186832,59.37
186,FL,Hernando County,87901,41886,45021,48.19
187,FL,Pasco County,214866,102417,110104,48.2
188,FL,Polk County,244833,113865,128878,46.91
189,FL,Osceola County,100670,59962,40086,59.93
190,FL,Pinellas County,463282,248299,210066,54.17
191,FL,Hillsborough County,513312,272963,236355,53.59
192,FL,Indian River County,70591,29710,40176,42.52
193,FL,Highlands County,44783,18135,26221,40.89
194,FL,Hardee County,7412,2568,4763,35.03
195,FL,Manatee County,151994,70034,80721,46.46
196,FL,Okeechobee County,12786,5108,7561,40.32
197,FL,Saint Lucie County,120579,67125,52512,56.11
198,FL,Sarasota County,207353,102686,102897,49.95
199,FL,DeSoto County,10131,4383,5632,43.76
200,FL,Martin County,78294,33508,44143,43.15
201,FL,Glades County,3358,1381,1938,41.61
202,FL,Charlotte County,85158,39031,45205,46.34
203,FL,Palm Beach County,590500,361271,226037,61.51
204,FL,Hendry County,10879,4998,5780,46.37
205,FL,Lee County,269276,119701,147608,44.78
206,FL,Collier County,141988,54450,86379,38.66
207,FL,Broward County,733899,492640,237729,67.45
208,FL,Miami-Dade County,863486,499831,360551,58.09
209,FL,Monroe County,40272,20907,18933,52.48
210,OH,Ottawa County,23069,12049,10618,53.16
211,OH,Sandusky County,30373,15601,14190,52.4
212,OH,Summit County,269059,155105,110499,58.36
213,OH,Athens County,31098,20722,9742,68.02
214,OH,Butler County,173777,66030,105341,38.53
215,OH,Clinton County,19305,6558,12409,34.58
216,OH,Cuyahoga County,665352,458422,199880,69.64
217,OH,Franklin County,560325,334709,218486,60.5
218,OH,Hamilton County,425086,225213,195530,53.53
219,OH,Highland County,19186,6856,11907,36.54
220,OH,Hocking County,12961,6259,6364,49.58
221,OH,Licking County,82356,33932,46918,41.97
222,OH,Madison County,17454,6532,10606,38.11



